career_id,company_name,role_name,join_date,resignation_date,employee_id
1,삼성전자,소프트웨어 엔지니어,2010-05-01 09:00:00,2014-08-31 18:00:00,1
2,LG전자,마케팅 매니저,2012-03-01 09:00:00,2016-12-31 18:00:00,2
3,SK텔레콤,네트워크 엔지니어,2013-06-01 09:00:00,2017-05-31 18:00:00,3
4,네이버,프론트엔드 개발자,2014-02-01 09:00:00,2018-07-31 18:00:00,4
5,카카오,빅데이터 분석가,2015-08-01 09:00:00,2019-11-30 18:00:00,5
6,삼성전자,하드웨어 엔지니어,2011-04-01 09:00:00,2015-03-31 18:00:00,1
7,LG전자,경영 기획,2013-07-01 09:00:00,2017-06-30 18:00:00,2
8,SK텔레콤,IT 기획자,2014-09-01 09:00:00,2018-08-31 18:00:00,3
9,네이버,UX/UI 디자이너,2015-05-01 09:00:00,2019-04-30 18:00:00,4
10,카카오,모바일 앱 개발자,2016-03-01 09:00:00,2020-06-30 18:00:00,5
