commute_id,start_time,end_time,remote_status,overtime_status,employee_id,attendance_request_id
1,2024-11-01 09:00:00,2024-11-01 18:00:00,N,N,1,
2,2024-11-01 08:30:00,2024-11-01 17:30:00,N,N,2,
3,2024-11-02 09:15:00,2024-11-02 18:15:00,N,Y,3,3.0
4,2024-11-02 09:00:00,2024-11-02 18:00:00,N,N,4,
5,2024-11-03 09:00:00,2024-11-03 17:00:00,Y,N,5,2.0
6,2024-11-02 09:00:00,2024-11-02 18:00:00,Y,N,1,
7,2024-11-03 09:15:00,2024-11-03 18:00:00,N,N,1,
8,2024-11-03 18:00:00,2024-11-03 21:00:00,N,Y,1,
9,2024-11-04 09:00:00,2024-11-04 18:00:00,N,N,1,
10,2024-11-05 09:00:00,2024-11-05 18:00:00,N,N,1,
11,2024-11-06 09:00:00,2024-11-06 18:00:00,N,N,1,
12,2024-11-07 09:00:00,2024-11-07 18:00:00,N,N,1,
13,2024-11-08 09:00:00,2024-11-08 18:00:00,N,N,1,
14,2024-11-09 09:00:00,2024-11-09 18:00:00,N,N,1,
15,2024-11-10 09:00:00,2024-11-10 18:00:00,N,N,1,
16,2024-11-11 09:00:00,2024-11-11 18:00:00,N,N,1,
17,2024-11-12 09:00:00,2024-11-12 18:00:00,N,N,1,
18,2024-11-12 18:00:00,2024-11-12 22:00:00,N,Y,1,6.0
19,2024-12-01 09:00:00,2024-12-01 18:00:00,N,N,1,
20,2024-12-01 18:00:00,2024-12-01 20:00:00,N,Y,1,7.0
