education_id,school_name,admission_date,graduation_date,degree,major,employee_id
1,서울대학교,2005-03-01 09:00:00,2009-02-28 09:00:00,학사,컴퓨터공학,1
2,연세대학교,2006-03-01 09:00:00,2010-02-28 09:00:00,학사,경영학,2
3,고려대학교,2007-03-01 09:00:00,2011-02-28 09:00:00,학사,전자공학,3
4,KAIST,2010-03-01 09:00:00,2014-02-28 09:00:00,학사,기계공학,4
5,POSTECH,2008-03-01 09:00:00,2012-02-28 09:00:00,학사,화학공학,5
6,서울대학교,2004-03-01 09:00:00,2008-02-28 09:00:00,학사,경제학,1
7,연세대학교,2009-03-01 09:00:00,2013-02-28 09:00:00,석사,경영학,2
8,고려대학교,2012-03-01 09:00:00,2016-02-28 09:00:00,석사,전자공학,3
9,KAIST,2014-03-01 09:00:00,2018-02-28 09:00:00,석사,기계공학,4
10,POSTECH,2011-03-01 09:00:00,2015-02-28 09:00:00,석사,화학공학,5
